dataset,model,strategy,pred_file,rel_path,n,auroc,ci_low,ci_high,auc_std,status,is_ood,model_family,model_type
Camelyon17,BLIP2-2.7b,ZS,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/BLIP2-2.7b/eval_seed0/original_pretrained/predictions.json,Camelyon17/BLIP2-2.7b/eval_seed0/original_pretrained,920,0.5175058189215833,0.47965617315557085,0.5559328304238993,0.0194244357882068,OK,1,CLIP,general
Camelyon17,BLIP2-2.7b,FT-LoRA,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/BLIP2-2.7b/train_img-lora-lp_seed42/predictions.json,Camelyon17/BLIP2-2.7b/train_img-lora-lp_seed42,920,0.9827310058326121,0.9756608530061722,0.9883395477360145,0.003236660576207,OK,1,CLIP,general
Camelyon17,BLIP2-2.7b,FT-LP,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/BLIP2-2.7b/train_lp_seed42/predictions.json,Camelyon17/BLIP2-2.7b/train_lp_seed42,920,0.981501584095816,0.9744113233850297,0.9874247355260751,0.0034091119182537,OK,1,CLIP,general
Camelyon17,BioMedCLIP,ZS,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/BioMedCLIP/eval_seed0/original_pretrained/predictions.json,Camelyon17/BioMedCLIP/eval_seed0/original_pretrained,920,0.7724507978150925,0.7417323628578785,0.8029310908741134,0.0156383949457235,OK,0,CLIP,medical
Camelyon17,BioMedCLIP,FT-LoRA,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/BioMedCLIP/train_img-lora-lp_seed42/predictions.json,Camelyon17/BioMedCLIP/train_img-lora-lp_seed42,920,0.987067201716354,0.981274989328131,0.9920369727852419,0.0027730121472044,OK,0,CLIP,medical
Camelyon17,BioMedCLIP,FT-LP,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/BioMedCLIP/train_lp_seed42/predictions.json,Camelyon17/BioMedCLIP/train_lp_seed42,920,0.9858226212765058,0.9793720495359565,0.9910403684304336,0.0029825170541832,OK,0,CLIP,medical
Camelyon17,CLIP,ZS,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/CLIP/eval_seed0/original_pretrained/predictions.json,Camelyon17/CLIP/eval_seed0/original_pretrained,920,0.529705725699632,0.49272281582813676,0.5683237836008782,0.0193405652503856,OK,1,CLIP,general
Camelyon17,CLIP,FT-LoRA,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/CLIP/train_img-lora-lp_seed42/predictions.json,Camelyon17/CLIP/train_img-lora-lp_seed42,920,0.9682099401463041,0.9579770008907637,0.9770128688873504,0.0048868234155868,OK,1,CLIP,general
Camelyon17,CLIP,FT-LP,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/CLIP/train_lp_seed42/predictions.json,Camelyon17/CLIP/train_lp_seed42,920,0.9679812420259091,0.9571904619932831,0.9770661531373324,0.0051170932959584,OK,1,CLIP,general
Camelyon17,MedCLIP,ZS,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/MedCLIP/eval_seed0/original_pretrained/predictions.json,Camelyon17/MedCLIP/eval_seed0/original_pretrained,920,0.7644548426840803,0.7325393239818684,0.7940144101121064,0.0158446152927667,OK,1,CLIP,medical
Camelyon17,MedCLIP,FT-LoRA,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/MedCLIP/train_img-lora-lp_seed42/predictions.json,Camelyon17/MedCLIP/train_img-lora-lp_seed42,920,0.818888327754502,0.791374513862994,0.8450341597755576,0.0137560081509123,OK,1,CLIP,medical
Camelyon17,MedCLIP,FT-LP,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/MedCLIP/train_lp_seed42/predictions.json,Camelyon17/MedCLIP/train_lp_seed42,920,0.8177354049788509,0.7909510219639282,0.8438336714589669,0.013910157034142,OK,1,CLIP,medical
Camelyon17,MedSigLIP,ZS,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/MedSigLIP/eval_seed0/original_pretrained/predictions.json,Camelyon17/MedSigLIP/eval_seed0/original_pretrained,920,0.42184179848193387,0.3853681004573909,0.4588801872834447,0.0192545502675944,OK,0,SigLIP,medical
Camelyon17,MedSigLIP,FT-LoRA,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/MedSigLIP/train_img-lora-lp_seed42/predictions.json,Camelyon17/MedSigLIP/train_img-lora-lp_seed42,920,0.9859402118002051,0.9791862792023249,0.9917283245172593,0.0032651779088975,OK,0,SigLIP,medical
Camelyon17,MedSigLIP,FT-LP,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/MedSigLIP/train_lp_seed42/predictions.json,Camelyon17/MedSigLIP/train_lp_seed42,920,0.986030787778513,0.9792383185485914,0.9917932985307505,0.0032313893228531,OK,0,SigLIP,medical
Camelyon17,PLIP,ZS,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/PLIP/eval_seed0/original_pretrained/predictions.json,Camelyon17/PLIP/eval_seed0/original_pretrained,920,0.7444978047102271,0.7128990885416666,0.7734603001441179,0.0157389903569908,OK,0,CLIP,medical
Camelyon17,PLIP,FT-LoRA,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/PLIP/train_img-lora-lp_seed42/predictions.json,Camelyon17/PLIP/train_img-lora-lp_seed42,920,0.985874626881281,0.9786395884432671,0.9920347076536687,0.0034755927317986,OK,0,CLIP,medical
Camelyon17,PLIP,FT-LP,/project/6101776/nanboy/MedVLMBench/log/diagnosis/Camelyon17/PLIP/train_lp_seed42/predictions.json,Camelyon17/PLIP/train_lp_seed42,920,0.9853101191317908,0.9777418407227408,0.9916478737904324,0.0035743813250309,OK,0,CLIP,medical
